Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Knowledge,Knowledge%,Study_Aid,Study_Aid%,Parental_Engagement,Parental_Engagement%,Engagement,Engagement%
0.6744186046511628,0.9,2,1,1,0.0,0.48,3,-1,0.0,1,1.0,-1,1,0.5,-1,1.0,2.0,-1,69,0.3237209302325581,0.35,0.0,0.0,2.0,0.22,0.6069767441860465,0.74
0.3720930232558139,0.725,3,1,1,0.8333333333333334,0.58,2,-1,0.0,2,2.0,-1,3,0.3333333333333333,-1,2.0,1.0,1,67,0.215813953488372,0.24,0.0,0.0,6.0,0.67,0.2697674418604651,0.33
0.2325581395348837,0.25,2,2,-1,0.3333333333333333,0.96,2,1,0.375,3,2.0,1,2,0.6666666666666666,-1,3.0,1.0,1,66,0.2232558139534883,0.24,0.75,0.29,6.0,0.67,0.0581395348837209,0.07
0.5116279069767442,0.4,2,1,1,0.1666666666666666,0.7,2,1,0.125,2,1.0,-1,2,0.5,-1,1.0,1.0,1,66,0.3581395348837209,0.39,0.125,0.05,2.0,0.22,0.2046511627906977,0.25
0.4651162790697674,0.875,3,2,1,0.5,0.62,2,1,0.0,2,2.0,-1,2,0.5,-1,1.0,1.0,-1,71,0.2883720930232558,0.31,0.0,0.0,3.0,0.33,0.4069767441860464,0.5
0.627906976744186,0.6,3,3,1,0.8333333333333334,0.52,3,1,0.0,3,2.0,1,1,0.5,-1,1.0,1.0,-1,72,0.3265116279069767,0.36,0.0,0.0,3.0,0.33,0.3767441860465116,0.46
0.4883720930232558,0.025,3,1,1,0.3333333333333333,0.48,2,1,0.125,1,2.0,-1,1,0.5,-1,1.0,1.0,-1,63,0.2344186046511627,0.26,0.125,0.05,3.0,0.33,0.0122093023255813,0.01
0.4883720930232558,0.575,2,3,1,0.1666666666666666,0.64,2,1,0.25,1,3.0,-1,3,0.5,-1,3.0,1.0,1,71,0.3125581395348837,0.34,0.75,0.29,6.0,0.67,0.280813953488372,0.34
0.1395348837209302,0.225,1,2,1,0.3333333333333333,0.76,2,1,0.0,1,3.0,1,1,0.6666666666666666,-1,3.0,1.0,1,61,0.1060465116279069,0.12,0.0,0.0,3.0,0.33,0.0313953488372093,0.04
0.4186046511627907,0.125,1,3,-1,1.0,0.16,2,1,0.25,2,3.0,1,3,0.5,-1,3.0,2.0,1,64,0.0669767441860465,0.07,0.75,0.29,3.0,0.33,0.0523255813953488,0.06
0.3023255813953488,0.55,3,1,1,0.6666666666666666,0.82,3,1,0.125,1,2.0,-1,1,0.3333333333333333,-1,1.0,1.0,-1,66,0.247906976744186,0.27,0.125,0.05,3.0,0.33,0.1662790697674418,0.2
0.6511627906976745,0.425,2,2,1,0.6666666666666666,0.3,2,1,0.125,2,2.0,-1,2,0.5,-1,1.0,1.0,-1,68,0.1953488372093023,0.21,0.25,0.1,2.0,0.22,0.2767441860465116,0.34
0.4651162790697674,0.65,3,2,-1,0.6666666666666666,0.44,2,1,0.0,3,3.0,-1,3,0.5,-1,1.0,2.0,-1,69,0.2046511627906976,0.22,0.0,0.0,3.0,0.33,0.3023255813953488,0.37
